timestamp,batch_id,samples_in_batch,total_samples,time_diff_us
1757944917.531965,211,100,9900,-29350674
1757944917.7641957,212,100,10000,-29350695
1757944917.989143,213,100,10100,-29350697
1757944918.2151513,214,100,10200,-29350701
1757944918.4416282,215,100,10300,-29350702
1757944918.6714063,216,100,10400,-29350698
1757944918.9177752,217,100,10500,-29350703
1757944919.1655276,218,100,10600,-29350704
1757944919.3838935,219,100,10700,-29350700
1757944919.6512356,220,100,10800,-29350705
1757944919.8837116,221,100,10900,-29350706
1757944920.166323,222,100,11000,-29350702
1757944920.4023972,223,100,11100,-29350703
1757944920.7500167,224,100,11200,-29350707
1757944920.9909422,225,100,11300,-29350708
1757944921.235694,226,100,11400,-29350705
1757944921.4734852,227,100,11500,-29350709
1757944921.7121332,228,100,11600,-29350710
1757944921.9318273,229,100,11700,-29350707
1757944922.1756966,230,100,11800,-29350712
1757944922.40954,231,100,11900,-29350712
1757944922.6427217,232,100,12000,-29350710
1757944922.864436,233,100,12100,-29350709
1757944923.0852146,234,100,12200,-29350714
1757944923.3115866,235,100,12300,-29350715
1757944923.5541985,236,100,12400,-29350686
1757944923.7899177,237,100,12500,-29350715
1757944924.0360599,238,100,12600,-29350716
1757944924.3502572,239,100,12700,-29350713
1757944924.6494498,240,100,12800,-29350713
1757944924.899072,241,100,12900,-29350718
1757944925.1302269,242,100,13000,-29350720
1757944925.418457,243,100,13100,-29350715
1757944925.662778,244,100,13200,-29350721
1757944925.8824663,245,100,13300,-29350722
1757944926.1168118,246,100,13400,-29350718
1757944926.3404157,247,100,13500,-29350723
1757944926.5676274,248,100,13600,-29350723
1757944926.779766,249,100,13700,-29350720
1757944926.9986806,250,100,13800,-29350721
1757944927.2504494,251,100,13900,-29350725
